Name,Sex,Age,Height,Weight,predict,lowermean,uppermean,lower,upper
Joyce,F,11,51.3,50.5,56.993334349,43.804363464,70.182305235,29.883498439,84.103170259
Louise,F,12,56.3,77,76.488485693,67.960050237,85.016921149,51.314521735,101.66244965
Alice,F,13,56.5,84,77.268291747,68.906553333,85.630030161,52.150311745,102.38627175
James,M,12,57.3,83,80.387515962,72.667088548,88.107943376,55.475686453,105.29934547
Thomas,M,11,57.5,85,81.167322016,73.600043341,88.73460069,56.3025285,106.03211553
John,M,12,59,99.5,87.015867419,80.4792515,93.552483338,62.445120631,111.58661421
Jane,F,12,59.8,84.5,90.135091634,84.039505624,96.230677643,65.677977764,114.5922055
Janet,F,15,62.5,112.5,100.66247336,95.225785487,106.09916123,76.361201272,124.96374545
Jeffrey,M,13,62.5,84,100.66247336,95.225785487,106.09916123,76.361201272,124.96374545
Carol,F,14,62.8,102.5,101.83218244,96.375045159,107.28931972,77.526327233,126.13803765
Henry,M,14,63.5,102.5,104.56150363,98.9820695,110.14093776,80.227898568,128.89510869
Judy,F,14,64.3,90,107.68072784,101.84160205,113.51985364,83.286268634,132.07518705
Robert,M,12,64.8,128,109.63024298,103.57059279,115.68989317,85.182060827,134.07842513
Barbara,F,13,65.3,98,111.57975811,105.26025322,117.89926301,87.06587649,136.09363973
Mary,F,15,66.5,112,116.25859443,109.18221905,123.33496982,91.538777715,140.97841115
William,M,15,66.5,112,116.25859443,109.18221905,123.33496982,91.538777715,140.97841115
Ronald,M,15,67,133,118.20810957,110.77121311,125.64500603,93.382685523,143.03353361
Alfred,M,14,69,112.5,126.00617011,116.94168423,135.07065599,100.64558742,151.36675279
Philip,M,16,72,150,137.70326091,125.8611556,149.54536623,111.2225187,164.18400313
